imageId,age,gender,combine
0,85,0,85-0
1,70,0,70-0
2,25,1,25-1
3,65,1,65-1
4,35,0,35-0
5,60,1,60-1
6,50,1,50-1
7,45,1,45-1
8,80,0,80-0
9,30,1,30-1
10,80,1,80-1
11,75,1,75-1
12,60,1,60-1
13,70,0,70-0
14,25,1,25-1
15,15,1,15-1
16,75,1,75-1
17,20,1,20-1
18,40,0,40-0
19,50,0,50-0
20,45,1,45-1
21,65,0,65-0
22,60,0,60-0
23,35,1,35-1
24,70,1,70-1
25,75,1,75-1
26,30,0,30-0
27,55,0,55-0
28,40,1,40-1
29,55,1,55-1
30,60,1,60-1
31,30,1,30-1
32,55,1,55-1
33,45,0,45-0
34,70,0,70-0
35,40,0,40-0
36,65,0,65-0
37,40,0,40-0
38,75,0,75-0
39,55,1,55-1
40,50,0,50-0
41,60,0,60-0
42,55,1,55-1
43,20,1,20-1
44,25,1,25-1
45,25,1,25-1
46,20,1,20-1
47,50,1,50-1
48,60,1,60-1
49,80,1,80-1
50,65,0,65-0
51,55,1,55-1
52,30,1,30-1
53,55,0,55-0
54,60,1,60-1
55,30,0,30-0
56,25,0,25-0
57,60,1,60-1
58,75,1,75-1
59,45,0,45-0
60,45,1,45-1
61,20,1,20-1
62,30,1,30-1
63,65,1,65-1
64,65,0,65-0
65,25,0,25-0
66,40,0,40-0
67,45,1,45-1
68,70,0,70-0
69,25,0,25-0
70,55,0,55-0
71,20,1,20-1
72,20,1,20-1
73,70,1,70-1
74,45,0,45-0
75,60,0,60-0
76,45,0,45-0
77,55,0,55-0
78,20,1,20-1
79,50,1,50-1
80,80,1,80-1
81,65,1,65-1
82,30,0,30-0
83,50,0,50-0
84,40,1,40-1
85,35,1,35-1
86,25,1,25-1
87,20,1,20-1
88,25,1,25-1
89,20,1,20-1
90,70,0,70-0
91,25,0,25-0
92,20,0,20-0
93,60,1,60-1
94,50,1,50-1
95,55,1,55-1
96,45,1,45-1
97,30,0,30-0
98,35,0,35-0
99,50,0,50-0
100,25,1,25-1
101,30,1,30-1
102,45,0,45-0
103,60,0,60-0
104,70,0,70-0
105,50,1,50-1
106,30,1,30-1
107,50,1,50-1
108,20,0,20-0
109,15,0,15-0
110,55,0,55-0
111,55,0,55-0
112,45,1,45-1
113,20,1,20-1
114,30,0,30-0
115,70,0,70-0
116,20,1,20-1
117,30,1,30-1
118,80,0,80-0
119,50,1,50-1
120,65,0,65-0
121,50,1,50-1
122,40,0,40-0
123,70,0,70-0
124,60,0,60-0
125,35,0,35-0
126,45,0,45-0
127,40,0,40-0
128,50,1,50-1
129,25,1,25-1
130,70,1,70-1
131,25,1,25-1
132,55,0,55-0
133,40,1,40-1
134,30,0,30-0
135,45,0,45-0
136,40,0,40-0
137,20,1,20-1
138,30,1,30-1
139,25,0,25-0
140,40,1,40-1
141,20,0,20-0
142,75,0,75-0
143,50,1,50-1
144,35,0,35-0
145,35,1,35-1
146,20,1,20-1
147,50,0,50-0
148,70,1,70-1
149,60,1,60-1
150,15,1,15-1
151,65,1,65-1
152,50,0,50-0
153,25,1,25-1
154,55,1,55-1
155,25,1,25-1
156,25,0,25-0
157,65,1,65-1
158,75,1,75-1
159,55,1,55-1
160,65,1,65-1
161,65,0,65-0
162,50,0,50-0
163,35,0,35-0
164,40,1,40-1
165,60,0,60-0
166,50,1,50-1
167,80,0,80-0
168,30,0,30-0
169,60,1,60-1
170,60,1,60-1
171,45,0,45-0
172,50,1,50-1
173,55,0,55-0
174,20,1,20-1
175,50,0,50-0
176,20,1,20-1
177,20,1,20-1
178,30,1,30-1
179,70,0,70-0
180,75,1,75-1
181,60,1,60-1
182,60,1,60-1
183,40,0,40-0
184,30,1,30-1
185,50,1,50-1
186,80,0,80-0
187,50,0,50-0
188,15,1,15-1
189,55,1,55-1
190,80,1,80-1
191,85,0,85-0
192,75,0,75-0
193,80,0,80-0
194,40,1,40-1
195,30,0,30-0
196,40,0,40-0
197,25,0,25-0
198,50,0,50-0
199,45,0,45-0
200,45,0,45-0
201,60,0,60-0
202,30,1,30-1
203,50,0,50-0
204,70,1,70-1
205,35,0,35-0
206,60,1,60-1
207,35,0,35-0
208,25,1,25-1
209,75,1,75-1
210,40,1,40-1
211,60,0,60-0
212,75,0,75-0
213,60,0,60-0
214,40,1,40-1
215,45,0,45-0
216,40,1,40-1
217,30,0,30-0
218,35,0,35-0
219,60,1,60-1
220,25,1,25-1
221,30,1,30-1
222,55,1,55-1
223,60,0,60-0
224,20,1,20-1
225,35,0,35-0
226,35,0,35-0
227,40,1,40-1
228,65,0,65-0
229,55,0,55-0
230,15,0,15-0
231,85,0,85-0
232,45,1,45-1
233,35,1,35-1
234,45,0,45-0
235,50,0,50-0
236,20,0,20-0
237,65,1,65-1
238,65,0,65-0
239,40,1,40-1
240,80,0,80-0
241,30,1,30-1
242,75,1,75-1
243,70,1,70-1
244,70,1,70-1
245,80,0,80-0
246,30,0,30-0
247,50,0,50-0
248,60,1,60-1
249,50,0,50-0
250,30,0,30-0
251,55,0,55-0
252,35,1,35-1
253,55,1,55-1
254,80,0,80-0
255,60,1,60-1
256,65,1,65-1
257,70,1,70-1
258,50,0,50-0
259,60,1,60-1
260,50,1,50-1
261,25,1,25-1
262,65,0,65-0
263,65,1,65-1
264,70,1,70-1
265,65,1,65-1
266,75,1,75-1
267,65,1,65-1
268,30,0,30-0
269,50,0,50-0
270,60,0,60-0
271,20,0,20-0
272,60,0,60-0
273,70,1,70-1
274,50,1,50-1
275,70,0,70-0
276,65,1,65-1
277,70,0,70-0
278,55,1,55-1
279,30,1,30-1
280,50,1,50-1
281,70,1,70-1
282,20,1,20-1
283,70,0,70-0
284,50,1,50-1
285,50,1,50-1
286,60,0,60-0
287,20,0,20-0
288,75,1,75-1
289,50,0,50-0
290,60,0,60-0
291,70,1,70-1
292,55,1,55-1
293,25,1,25-1
294,60,0,60-0
295,60,0,60-0
296,20,1,20-1
297,35,0,35-0
298,85,0,85-0
299,35,1,35-1
300,85,1,85-1
301,75,1,75-1
302,70,1,70-1
303,65,0,65-0
304,40,0,40-0
305,60,0,60-0
306,65,1,65-1
307,70,1,70-1
308,60,1,60-1
309,45,0,45-0
310,45,1,45-1
311,40,1,40-1
312,40,1,40-1
313,60,1,60-1
314,65,0,65-0
315,70,0,70-0
316,70,1,70-1
317,60,1,60-1
318,15,0,15-0
319,20,0,20-0
320,25,0,25-0
321,65,1,65-1
322,45,1,45-1
323,60,1,60-1
324,55,1,55-1
325,50,0,50-0
326,65,1,65-1
327,40,0,40-0
328,65,0,65-0
329,35,1,35-1
330,35,0,35-0
331,55,0,55-0
332,60,0,60-0
333,25,0,25-0
334,70,0,70-0
335,65,1,65-1
336,40,0,40-0
337,25,0,25-0
338,20,1,20-1
339,75,1,75-1
340,60,0,60-0
341,70,1,70-1
342,20,1,20-1
343,40,0,40-0
344,55,0,55-0
345,60,1,60-1
346,35,1,35-1
347,75,0,75-0
348,35,1,35-1
349,30,0,30-0
350,50,0,50-0
351,70,1,70-1
352,30,1,30-1
353,35,0,35-0
354,50,0,50-0
355,75,0,75-0
356,50,1,50-1
357,25,1,25-1
358,55,0,55-0
359,25,1,25-1
360,55,0,55-0
361,30,1,30-1
362,25,0,25-0
363,65,0,65-0
364,50,1,50-1
365,30,0,30-0
366,80,1,80-1
367,30,1,30-1
368,75,0,75-0
369,50,0,50-0
370,70,0,70-0
371,30,0,30-0
372,50,1,50-1
373,45,1,45-1
374,25,0,25-0
375,85,0,85-0
376,45,0,45-0
377,30,0,30-0
378,50,1,50-1
379,60,0,60-0
380,50,1,50-1
381,35,0,35-0
382,55,1,55-1
383,50,1,50-1
384,45,0,45-0
385,65,1,65-1
386,55,1,55-1
387,40,0,40-0
388,45,1,45-1
389,25,1,25-1
390,45,1,45-1
391,25,1,25-1
392,55,1,55-1
393,50,0,50-0
394,65,0,65-0
395,35,1,35-1
396,30,1,30-1
397,30,1,30-1
398,55,0,55-0
399,50,0,50-0
400,20,1,20-1
401,65,0,65-0
402,60,1,60-1
403,45,0,45-0
404,55,0,55-0
405,30,0,30-0
406,65,0,65-0
407,50,1,50-1
408,45,1,45-1
409,40,0,40-0
410,50,0,50-0
411,60,1,60-1
412,55,0,55-0
413,70,0,70-0
414,85,0,85-0
415,40,1,40-1
416,65,1,65-1
417,50,0,50-0
418,80,0,80-0
419,25,0,25-0
420,40,0,40-0
421,15,1,15-1
422,45,1,45-1
423,80,0,80-0
424,75,0,75-0
425,20,0,20-0
426,50,0,50-0
427,50,1,50-1
428,20,1,20-1
429,30,1,30-1
430,20,1,20-1
431,20,0,20-0
432,40,0,40-0
433,65,1,65-1
434,30,1,30-1
435,35,1,35-1
436,45,1,45-1
437,45,0,45-0
438,50,0,50-0
439,35,0,35-0
440,50,0,50-0
441,15,1,15-1
442,35,0,35-0
443,25,1,25-1
444,70,1,70-1
445,55,0,55-0
446,80,0,80-0
447,40,1,40-1
448,45,0,45-0
449,40,1,40-1
450,65,0,65-0
451,45,0,45-0
452,85,0,85-0
